#       r/R             l_rad/L
      0.99931930    0.0015321461
      0.99931037    0.0014715613
      0.99930139    0.0014137789
      0.99929235    0.0013587131
      0.99928326    0.0013062759
      0.99927412    0.0012562387
      0.99926492    0.0012083928
      0.99925568    0.0011625854
      0.99924638    0.0011187282
      0.99923702    0.0010767369
      0.99922762    0.0010365299
      0.99921816   0.00099802805
      0.99920866   0.00096115580
      0.99919910   0.00092584064
      0.99918949   0.00089201340
      0.99917982   0.00085960809
      0.99917011   0.00082856185
      0.99916034   0.00079881488
      0.99915053   0.00077030974
      0.99914066   0.00074297553
      0.99913074   0.00071675652
      0.99912077   0.00069160859
      0.99911075   0.00066748932
      0.99910068   0.00064435803
      0.99909056   0.00062217398
      0.99908039   0.00060087119
      0.99907018   0.00058040446
      0.99905991   0.00056074123
      0.99904959   0.00054185078
      0.99903923   0.00052370429
      0.99902881   0.00050627489
      0.99901834   0.00048953774
      0.99900783   0.00047346996
      0.99899726   0.00045804190
      0.99898665   0.00044323290
      0.99897599   0.00042896569
      0.99896527   0.00041518146
      0.99895451   0.00040187284
      0.99894370   0.00038903004
      0.99893284   0.00037664175
      0.99892193   0.00036469562
      0.99891097   0.00035317868
      0.99889996   0.00034207657
      0.99888890   0.00033136338
      0.99887780   0.00032102254
      0.99886665   0.00031104157
      0.99885544   0.00030140799
      0.99884419   0.00029210478
      0.99883290   0.00028311925
      0.99882155   0.00027444113
      0.99881015   0.00026606040
      0.99879870   0.00025796734
      0.99878721   0.00025015253
      0.99877566   0.00024260683
      0.99876407   0.00023532142
      0.99875243   0.00022828782
      0.99874073   0.00022149784
      0.99872899   0.00021494367
      0.99871720   0.00020861786
      0.99870536   0.00020251339
      0.99869348   0.00019661718
      0.99868154   0.00019089850
      0.99866956   0.00018535216
      0.99865753   0.00017997544
      0.99864544   0.00017476529
      0.99863331   0.00016971845
      0.99862113   0.00016483156
      0.99860890   0.00016010126
      0.99859662   0.00015552429
      0.99858429   0.00015109758
      0.99857192   0.00014681833
      0.99855949   0.00014268416
      0.99854701   0.00013869326
      0.99853448   0.00013484462
      0.99852190   0.00013112616
      0.99850927   0.00012751173
      0.99849660   0.00012399999
      0.99848387   0.00012058965
      0.99847110   0.00011727717
      0.99845827   0.00011405998
      0.99844540   0.00011093603
      0.99843247   0.00010790311
      0.99841950   0.00010495892
      0.99840647   0.00010210114
      0.99839340   9.9327423e-05
      0.99838027   9.6635408e-05
      0.99836709   9.4022737e-05
      0.99835387   9.1486361e-05
      0.99834059   8.9023707e-05
      0.99832726   8.6632606e-05
      0.99831387   8.4310933e-05
      0.99830044   8.2056610e-05
      0.99828696   7.9867596e-05
      0.99827342   7.7741891e-05
      0.99825984   7.5677517e-05
      0.99824620   7.3672351e-05
      0.99823251   7.1724363e-05
      0.99821878   6.9831941e-05
      0.99820499   6.7993509e-05
      0.99819114   6.6207390e-05
      0.99817725   6.4471614e-05
      0.99816331   6.2784645e-05
      0.99814931   6.1145020e-05
      0.99813526   5.9551323e-05
      0.99812116   5.8002177e-05
      0.99810700   5.6496246e-05
      0.99809279   5.5032234e-05
      0.99807853   5.3608879e-05
      0.99806421   5.2224948e-05
      0.99804984   5.0879230e-05
      0.99803542   4.9570628e-05
      0.99802095   4.8298224e-05
      0.99800642   4.7060302e-05
      0.99799184   4.5856084e-05
      0.99797721   4.4684706e-05
      0.99796252   4.3545283e-05
      0.99794778   4.2436951e-05
      0.99793299   4.1358869e-05
      0.99791814   4.0310220e-05
      0.99790324   3.9290203e-05
      0.99788828   3.8298041e-05
      0.99787327   3.7332970e-05
      0.99785820   3.6394245e-05
      0.99784308   3.5481103e-05
      0.99782790   3.4592743e-05
      0.99781267   3.3728407e-05
      0.99779738   3.2887347e-05
      0.99778204   3.2068819e-05
      0.99776664   3.1272086e-05
      0.99775118   3.0496418e-05
      0.99773567   2.9741458e-05
      0.99772011   2.9006904e-05
      0.99770449   2.8292244e-05
      0.99768881   2.7596987e-05
      0.99767308   2.6920680e-05
      0.99765729   2.6262910e-05
      0.99764144   2.5623228e-05
      0.99762554   2.5001207e-05
      0.99760958   2.4396455e-05
      0.99759356   2.3808619e-05
      0.99757748   2.3237401e-05
      0.99756134   2.2682582e-05
      0.99754515   2.2144064e-05
      0.99752890   2.1621943e-05
      0.99751259   2.1115360e-05
      0.99749622   2.0618074e-05
      0.99747979   2.0130223e-05
      0.99746331   1.9652674e-05
      0.99744677   1.9186390e-05
      0.99743017   1.8731778e-05
      0.99741351   1.8289038e-05
      0.99739679   1.7858274e-05
      0.99738001   1.7439530e-05
      0.99736317   1.7032824e-05
      0.99734627   1.6638167e-05
      0.99732931   1.6255086e-05
      0.99731229   1.5880942e-05
      0.99729521   1.5515444e-05
      0.99727807   1.5158578e-05
      0.99726087   1.4810239e-05
      0.99724361   1.4470265e-05
      0.99722628   1.4138461e-05
      0.99720889   1.3814615e-05
      0.99719144   1.3498500e-05
      0.99717393   1.3189881e-05
      0.99715636   1.2888741e-05
      0.99713873   1.2595310e-05
      0.99712103   1.2309440e-05
      0.99710328   1.2030977e-05
      0.99708546   1.1759783e-05
      0.99706757   1.1495736e-05
      0.99704963   1.1238743e-05
      0.99703162   1.0988744e-05
      0.99701355   1.0745727e-05
      0.99699541   1.0509756e-05
      0.99697721   1.0280971e-05
      0.99695894   1.0058519e-05
      0.99694061   9.8418090e-06
      0.99692221   9.6305010e-06
      0.99690375   9.4242998e-06
      0.99688522   9.2229407e-06
      0.99686663   9.0261804e-06
      0.99684797   8.8337908e-06
      0.99682925   8.6457516e-06
      0.99681046   8.4621872e-06
      0.99679161   8.2830395e-06
      0.99677269   8.1081437e-06
      0.99675371   7.9373424e-06
      0.99673466   7.7704850e-06
      0.99671554   7.6074271e-06
      0.99669635   7.4480292e-06
